NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT
PEREIRA BARRETO,486.49615082482325,521.9281749148992,510.90237324703344,519.5187432578209
PERUIBE,479.14199649737304,523.4633741973146,510.4788564476886,504.73819951338197
PIEDADE,489.74572168087695,529.2802679658952,515.6230635197212,523.7360050689055
PILAR DO SUL,474.04203423304807,515.1127057274523,506.0259717922257,521.4656346749226
PINDAMONHANGABA,496.5008243320068,539.5233584422967,525.7010873558152,532.6514951142458
PIRACICABA,507.6017975449386,547.5110627765694,533.7659975747569,547.017779096468
PIRAJU,487.2513490843003,529.1894869285615,518.482382133995,524.7375857539046
PIRAJUI,483.7319590731267,526.184832982245,516.227478314746,515.0895600991327
PIRASSUNUNGA,510.60562007465785,547.9868311903774,532.9905468750001,549.1222869318182
PITANGUEIRAS,480.5522184300341,514.3712522971908,505.1149261891744,516.9575997813013
POA,474.0777305238739,521.0811005863779,512.1918287412209,500.22608049702865
PONTAL,474.03028603477287,514.3885866517106,498.75182608695656,499.5722898550724
PORTO FELIZ,483.6779350541215,525.3091382181516,513.0815162770374,515.5099191610225
PORTO FERREIRA,499.49223396632027,536.5455302758868,525.7436333394936,539.3568656440584
POTIM,484.76745098039214,526.1192156862745,508.68530612244894,495.5804081632653
PRAIA GRANDE,477.25762446780783,523.0194760622122,513.7234287266799,503.00168900561494
PRESIDENTE EPITACIO,469.3166826462128,511.9894534995206,501.96549043062197,497.03153907496016
PRESIDENTE PRUDENTE,487.76903324951104,531.4330930427493,515.4943779698862,518.0692734871471
PRESIDENTE VENCESLAU,483.44498810737343,524.1460754332313,511.7588799720865,519.050052337753
PROMISSAO,477.48625603309586,512.5349574810389,505.19358851674644,503.33686602870813
Paraguaçu Paulista,492.95861269614835,541.6174054982818,524.430757234448,517.9361036157582
Paulínia,523.6109443348486,564.8288868673503,546.5889667835086,559.4087107108841
Pederneiras,504.2685403050109,548.4872309299896,533.371687763713,533.5942794279428
Pedreira,496.83105449041375,546.3642248722317,532.3612586037365,529.8675758348203
Penápolis,502.84144590245114,549.5581434196397,530.2439357332689,530.820539184953
Pereira Barreto,495.1110819327731,535.7566152289401,521.0189395870508,519.1066966649021
Peruíbe,488.8345622119815,538.1510094727778,525.093622992065,511.50174353775975
Piedade,497.589229311434,548.9255859969559,533.2191126803807,528.130815806246
Pilar do Sul,492.8409192546584,540.6979216435739,524.8333413635269,533.8294987468672
Pindamonhangaba,506.6456274509804,555.8371668032012,539.923252414845,541.3771477549944
Piracicaba,518.1423867143089,564.5526204548123,546.9432761439518,555.2686561062851
Piraju,496.24704523346304,545.9143472189901,530.1539373312992,533.2350877192982
Pirajuí,490.978898007034,535.316501836677,522.1463888095918,513.4788507109005
Pirassununga,519.7094721514379,562.5287383177571,544.5947717546362,554.3038881960238
Pitangueiras,486.3220492866407,530.755850931677,516.2924628182506,515.4982617856202
Pontal,480.8675147928994,524.3697705291105,509.0753739930955,502.15647575334265
Porto Feliz,494.2049902629017,545.9219410262364,530.6340530391927,524.619423929099
Porto Ferreira,514.3343199170515,557.7643169797556,539.9404792508263,549.55543426673
Poá,484.8300911854103,539.6715048082003,528.0337217382009,511.2486296006265
