NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT
Cajati,481.8863712095968,535.401662404092,519.7950645161291,507.0802892700975
Cajuru,485.9360993337371,531.5988348383338,516.1255069056715,512.5615831295844
Campinas,519.6531416572443,565.0619041607569,546.3834633828844,555.7501662597373
Campo Limpo Paulista,491.53717346158044,544.4081827731093,529.2105630821338,519.9363886746722
Campos do Jordão,497.8341488426604,549.6742905310481,532.6403173254002,529.1414216048471
Capivari,504.93115731317243,550.0223087621697,533.2674421883813,533.5522566371682
Capão Bonito,484.16560582274866,536.5011672095549,522.7853829261597,513.3221371841155
Caraguatatuba,495.35205330008574,546.9732899753308,533.5011863382198,527.9093380614657
Carapicuíba,476.18443491304555,532.7613132645987,521.2883615819209,495.2404449920622
Casa Branca,499.4484506132989,542.7699629171817,528.2322580645161,525.7936163318211
Catanduva,514.7231113991037,556.2024245577524,540.2744572627163,552.9461756219719
Caçapava,505.2332160140784,557.2257366970532,540.9405696607638,542.1937555358725
Cerqueira César,499.4672,546.0907016937435,528.9031369815267,530.3820983125458
Cerquilho,506.61200223297357,556.5618275739223,540.0302565028902,545.296582326284
Cosmópolis,497.76287223118675,545.7785086475759,532.3538031800601,524.8310646500594
Cotia,501.03832751591233,550.6592708509559,536.1296669314571,532.0821372693727
Cruzeiro,511.0915928731463,558.5173993237012,540.4959822350753,546.5606067125645
Cubatão,486.6569444444445,539.4443115044248,526.5157709945543,511.3075334779681
Cândido Mota,499.06416332482684,539.6419757365685,524.9427617709066,520.6048816568048
DIADEMA,471.5658684619368,520.1443210771621,509.3511151894634,496.15725143042215
DRACENA,489.6216107382551,526.3332519829164,513.0626145924903,528.6212859475072
Diadema,482.011880639407,537.8070242592961,525.3883880352456,505.3005926366211
Dracena,502.4682085381131,543.6551436515292,528.2870877324115,537.5991059280855
ELDORADO,457.1872967479675,489.8077743902439,481.34531416400426,477.5110756123536
EMBU,465.36586359997085,504.6308901666788,505.99578532443905,489.6262583383869
EMBU DAS ARTES,466.60337987481944,529.9802214732787,500.31841791044775,474.21537313432833
EMBU-GUACU,468.3245524296675,514.2943307757886,504.32469933184854,491.49103563474387
ESPIRITO SANTO DO PINHAL,508.4951472718493,550.1691211974892,534.8669324694742,551.2563917268876
Eldorado,469.8379496402877,519.8662664379646,503.57376668601273,487.42436053593184
Embu das Artes,475.63042725573024,533.30348043901,519.2338273002764,491.5377703885194
Embu-Guaçu,479.4452214666422,531.9396375791696,520.11506264996,503.6397046531067
Espírito Santo do Pinhal,513.232915921288,560.6147247119078,540.5571798188874,549.6374095840868
FERNANDOPOLIS,495.8076800847458,528.2877206920904,520.9498263888889,532.6621984649122
FERRAZ DE VASCONCELOS,464.1011281826163,511.64499561018437,503.31823292805564,484.1880290702989
FRANCA,494.1411045531197,535.5841349839031,523.2926328334493,531.2787148674148
FRANCISCO MORATO,456.720415164554,505.0333992324689,493.42239178015564,473.38687986381325
FRANCO DA ROCHA,466.22972260963894,514.8134278630095,504.4110975510536,485.65180213164103
Fernandópolis,507.17830248307,546.5138128746416,531.3993864492944,538.6726601658617
Ferraz de Vasconcelos,475.3477859993027,530.7112296483533,518.4567287784679,492.7584000628042
Franca,502.1474575323053,547.8049236359711,531.6791777043945,535.419736990631
Francisco Morato,470.7310746284672,528.8089187257505,514.6085474946998,484.2634964654703
Franco da Rocha,477.2972433943089,532.7266759861424,519.9920666134087,494.6318812644564
GARCA,483.55832808233566,525.9193446754883,513.9631831047245,514.115610711953
GUAIRA,491.9969655172414,525.672,510.9376279863481,524.6009101251423
GUARARAPES,495.4384535815878,527.6331781742953,518.3610977242303,536.3130120481928
GUARATINGUETA,507.9067472380811,549.911344257433,534.6448666870978,550.8465828991725
GUAREI,475.61481481481485,508.36835016835016,488.990036900369,487.9409594095941
GUARUJA,472.86085768434043,518.6156507558729,508.6389640155856,497.4892230116892
GUARULHOS,478.96208082070893,526.6300963376967,514.4805956950403,506.44725295401525
Garça,495.6965320910973,541.151204919395,526.9338758389262,520.0968112911657
Guararapes,506.2361952861953,547.8223075133752,532.0304052471305,539.070203488372
Guaratinguetá,521.0195075151903,568.735277327779,549.6474853801169,564.7053354890865
Guarujá,483.659790867646,533.2493271685873,522.6156701605321,502.86892193036937
Guarulhos,490.3082178668488,543.2950585693897,529.6622156351327,517.8441936331834
Guaíra,502.90538535184305,541.6569152620642,527.7139632301605,534.6591940154441
HORTOLANDIA,480.57220248667846,527.7465677567652,513.9411065907242,508.45036615134256
Hortolândia,490.4751266085513,542.751960588775,530.3496802477576,518.3045218556356
IBATE,478.7290523234541,521.4954994511526,510.8076571428572,513.0195047619047
IBITINGA,496.59993658845906,535.197463538364,526.9169443986141,537.8830226035308
IBIUNA,479.6730711422845,518.6102079158317,507.20724863600935,507.6052870875552
IGUAPE,476.9863504787353,519.800089067023,508.5672229949003,500.64276773296245
ILHA SOLTEIRA,510.406570354245,543.9111023154561,526.4252500510307,547.8899979587671
ILHABELA,488.3659751037344,557.6475103734439,524.0606911447085,487.7544276457883
INDAIATUBA,504.28070621991856,545.106955757127,529.0618180074791,542.5095263208361
IPAUSSU,497.4993890020367,530.2476578411405,516.9969565217391,504.3363043478261
IPERO,491.5170403587444,519.9248878923767,502.09178743961354,500.42439613526574
ITAI,482.66892923457806,516.9009284093253,506.9360085378869,517.5122305229455
ITANHAEM,475.6249166176182,521.7944182852658,511.2462974296206,500.2070583435333
ITAPECERICA DA SERRA,469.2033435453201,517.1669871117684,507.42751914495074,488.43189355958356
ITAPETININGA,490.0537048529229,532.430867568574,521.5073143963848,526.4643511943189
ITAPEVA,476.709010989011,518.2148098055791,505.8255718475073,509.92032844574777
ITAPEVI,461.9068244597302,510.28150354763585,498.6949860406814,482.4626061193094
ITAPIRA,506.46778939688716,546.7721303501945,532.4291007284602,545.6278698819392
ITAPOLIS,496.4476049565379,531.2329202885148,523.8378549501151,531.6344205679202
ITAQUAQUECETUBA,461.354306122449,508.7052367346939,497.41316863678884,479.2150267879922
ITARARE,474.45127005347587,516.222493315508,504.8438545539034,505.86116403345727
ITATIBA,504.79439903118373,542.125,526.4894109396914,543.0944756116565
ITU,493.3034312129696,536.2169216745882,523.7131464639609,525.7112664585313
ITUPEVA,487.945498474059,528.6644455747711,515.008948069241,516.0054327563249
ITUVERAVA,485.9405629948197,522.1548138011925,509.27507307731076,515.6467795585123
Ibaté,485.72416365280293,535.4827735644637,521.0874014022787,513.7486851131946
Ibitinga,503.2506639427987,548.715429769392,534.9473379466177,538.2275114323646
Ibiúna,491.4250032488629,540.0954068896656,524.8474454396367,518.6939159001314
Iguape,488.3341920374707,542.2746049410193,525.9623927765236,509.1875683384835
Ilha Solteira,513.1245796138676,553.8874096385542,534.8225617159045,539.5921113203599
Ilhabela,495.2465329991646,545.8846031112884,531.471566653242,520.8589029535865
Indaiatuba,513.8599919699237,561.1247572473966,545.0816595125758,552.2256534864885
Itanhaém,484.36394021739136,536.9889953392025,525.4165112834364,506.525789040344
Itapecerica da Serra,481.03841245203296,537.6055227310028,524.15143509865,501.89221698113204
Itapetininga,499.68609897368157,549.5349003403014,533.8230965713724,531.1935182331792
Itapeva,481.562298376966,531.3959994243776,518.2515694849369,511.9343791382296
Itapevi,473.66028362842997,527.3009797648565,516.3716805566793,492.4994393952264
Itapira,518.3014583333334,563.5981655986933,544.5933215055127,553.4942722017867
Itaquaquecetuba,473.4351918876755,526.8540925055063,514.6270077156324,490.1097289128176
Itararé,482.27591378735696,535.5157124546037,520.617577914375,509.28762342908436
Itatiba,511.3926015544801,555.5555366390013,539.4171127970227,548.4520535780359
Itaí,491.220686134368,538.3443040435459,524.6014173228347,521.6018828884751
Itu,506.2627323302567,558.0344959824689,540.7127728921961,540.4117372691841
Itupeva,499.071528831563,549.7194302410519,532.5086442556335,531.2384452975048
Ituverava,494.373477620045,534.3233918128656,517.8713660377358,520.2248301179411
Itápolis,503.4747843137255,545.7403795066414,531.8926684532925,532.5314404432132
JABOTICABAL,504.01320394791406,539.2214149456747,527.1161295837251,539.4600051286434
JACAREI,488.3954941490715,531.5249554820657,518.3783796205108,520.8743943273587
JAGUARIUNA,509.8886821705426,550.8124547803617,534.3092774308653,548.8693131132917
JALES,494.15076750879433,528.5632315318196,519.5023770221195,533.6072301089469
JANDIRA,463.89249304911954,512.5693908501137,500.45788546255505,485.95866960352424
JARDINOPOLIS,496.1418994413408,533.7386033519552,516.9485439720443,526.6377402446127
JAU,506.14335685483866,544.5824495967743,531.7910509669725,543.8097008347592
JOSE BONIFACIO,493.25399545736116,523.5328721866612,516.773082706767,528.7045542427497
JUNDIAI,514.6990614000782,552.647349758832,538.4315923601051,560.645941305864
JUQUITIBA,467.2397486091078,510.50074180919023,498.97385803131033,489.5547930516835
Jaboticabal,504.9309429228517,546.1907739101048,531.1290182213761,534.0493549291824
Jacareí,502.47603443310186,552.0180201945116,536.4468280023763,535.6907290118271
